ticket_id,customer_id,technician_id,node_id,priority,status,issue_type,date_created,date_resolved
TICK00001,CUST0056,TECH0105,NODE0154,Low,Resolved,Connectivity,2023-12-07 00:00:00,2023-12-29 00:00:00
TICK00002,CUST0019,TECH0119,NODE0021,Medium,In Progress,Hardware Failure,2023-11-02 00:00:00,
TICK00003,CUST0028,TECH0125,NODE0009,High,Closed,Service Outage,2024-03-24 00:00:00,2024-03-31 00:00:00
TICK00004,CUST0146,TECH0137,NODE0199,Critical,Open,Configuration,2024-02-05 00:00:00,
TICK00005,CUST0111,TECH0154,NODE0073,Low,In Progress,Billing,2023-10-21 00:00:00,
TICK00006,CUST0025,TECH0061,NODE0177,Medium,Open,Connectivity,2024-03-05 00:00:00,
TICK00007,CUST0082,TECH0046,NODE0024,High,Closed,Hardware Failure,2023-12-12 00:00:00,2023-12-19 00:00:00
TICK00008,CUST0185,TECH0008,NODE0130,Critical,Closed,Service Outage,2024-01-11 00:00:00,2024-01-24 00:00:00
TICK00009,CUST0087,TECH0193,NODE0007,Low,Resolved,Configuration,2023-12-07 00:00:00,2023-12-18 00:00:00
TICK00010,CUST0144,TECH0112,NODE0067,Medium,In Progress,Billing,2024-01-29 00:00:00,
TICK00011,CUST0109,TECH0174,NODE0072,High,In Progress,Connectivity,2023-12-13 00:00:00,
TICK00012,CUST0023,TECH0084,NODE0105,Critical,Open,Hardware Failure,2024-02-21 00:00:00,
TICK00013,CUST0181,TECH0184,NODE0109,Low,Open,Service Outage,2023-12-12 00:00:00,
TICK00014,CUST0099,TECH0164,NODE0156,Medium,Closed,Configuration,2023-10-04 00:00:00,2023-10-22 00:00:00
TICK00015,CUST0040,TECH0141,NODE0184,High,Resolved,Billing,2023-10-31 00:00:00,2023-11-07 00:00:00
TICK00016,CUST0008,TECH0016,NODE0117,Critical,Resolved,Connectivity,2023-11-17 00:00:00,2023-12-01 00:00:00
TICK00017,CUST0029,TECH0002,NODE0166,Low,In Progress,Hardware Failure,2024-03-16 00:00:00,
TICK00018,CUST0180,TECH0043,NODE0179,Medium,Resolved,Service Outage,2023-11-06 00:00:00,2023-11-23 00:00:00
TICK00019,CUST0033,TECH0043,NODE0028,High,Open,Configuration,2024-03-16 00:00:00,
TICK00020,CUST0055,TECH0004,NODE0200,Critical,Resolved,Billing,2023-11-07 00:00:00,2023-11-12 00:00:00
TICK00021,CUST0014,TECH0166,NODE0153,Low,In Progress,Connectivity,2024-01-26 00:00:00,
TICK00022,CUST0112,TECH0170,NODE0179,Medium,Closed,Hardware Failure,2023-11-08 00:00:00,2023-12-07 00:00:00
TICK00023,CUST0117,TECH0122,NODE0068,High,Resolved,Service Outage,2024-03-29 00:00:00,2024-03-31 00:00:00
TICK00024,CUST0196,TECH0172,NODE0004,Critical,Open,Configuration,2024-01-30 00:00:00,
TICK00025,CUST0058,TECH0022,NODE0012,Low,In Progress,Billing,2024-01-24 00:00:00,
TICK00026,CUST0059,TECH0034,NODE0077,Medium,In Progress,Connectivity,2023-10-11 00:00:00,
TICK00027,CUST0018,TECH0148,NODE0180,High,Resolved,Hardware Failure,2024-02-06 00:00:00,2024-03-02 00:00:00
TICK00028,CUST0041,TECH0024,NODE0021,Critical,Resolved,Service Outage,2023-12-11 00:00:00,2023-12-28 00:00:00
TICK00029,CUST0131,TECH0171,NODE0174,Low,In Progress,Configuration,2024-03-16 00:00:00,
TICK00030,CUST0111,TECH0063,NODE0023,Medium,Open,Billing,2023-12-27 00:00:00,
TICK00031,CUST0031,TECH0125,NODE0057,High,Open,Connectivity,2023-12-08 00:00:00,
TICK00032,CUST0076,TECH0174,NODE0180,Critical,Closed,Hardware Failure,2024-03-01 00:00:00,2024-03-23 00:00:00
TICK00033,CUST0135,TECH0021,NODE0162,Low,In Progress,Service Outage,2024-03-15 00:00:00,
TICK00034,CUST0110,TECH0181,NODE0082,Medium,Resolved,Configuration,2024-03-18 00:00:00,2024-03-31 00:00:00
TICK00035,CUST0014,TECH0156,NODE0170,High,In Progress,Billing,2024-03-08 00:00:00,
TICK00036,CUST0027,TECH0027,NODE0020,Critical,Closed,Connectivity,2023-11-22 00:00:00,2023-12-12 00:00:00
TICK00037,CUST0121,TECH0116,NODE0036,Low,Open,Hardware Failure,2024-02-12 00:00:00,
TICK00038,CUST0049,TECH0063,NODE0004,Medium,Open,Service Outage,2023-12-30 00:00:00,
TICK00039,CUST0124,TECH0074,NODE0055,High,In Progress,Configuration,2024-03-08 00:00:00,
TICK00040,CUST0026,TECH0054,NODE0118,Critical,Resolved,Billing,2024-02-21 00:00:00,2024-03-13 00:00:00
TICK00041,CUST0125,TECH0116,NODE0186,Low,Resolved,Connectivity,2024-01-02 00:00:00,2024-01-28 00:00:00
TICK00042,CUST0013,TECH0021,NODE0120,Medium,Open,Hardware Failure,2024-03-19 00:00:00,
TICK00043,CUST0108,TECH0175,NODE0173,High,Resolved,Service Outage,2024-01-09 00:00:00,2024-01-30 00:00:00
TICK00044,CUST0013,TECH0073,NODE0020,Critical,Open,Configuration,2024-01-30 00:00:00,
TICK00045,CUST0054,TECH0080,NODE0071,Low,Resolved,Billing,2024-02-16 00:00:00,2024-03-02 00:00:00
TICK00046,CUST0045,TECH0025,NODE0094,Medium,In Progress,Connectivity,2024-03-08 00:00:00,
TICK00047,CUST0160,TECH0188,NODE0097,High,Resolved,Hardware Failure,2023-11-11 00:00:00,2023-12-10 00:00:00
TICK00048,CUST0130,TECH0080,NODE0099,Critical,Closed,Service Outage,2024-01-15 00:00:00,2024-01-30 00:00:00
TICK00049,CUST0169,TECH0134,NODE0083,Low,In Progress,Configuration,2024-01-07 00:00:00,
TICK00050,CUST0030,TECH0114,NODE0200,Medium,Resolved,Billing,2023-10-26 00:00:00,2023-10-27 00:00:00
TICK00051,CUST0169,TECH0087,NODE0140,High,Open,Connectivity,2024-01-15 00:00:00,
TICK00052,CUST0065,TECH0147,NODE0062,Critical,Closed,Hardware Failure,2023-10-15 00:00:00,2023-11-11 00:00:00
TICK00053,CUST0130,TECH0145,NODE0130,Low,Resolved,Service Outage,2023-10-18 00:00:00,2023-10-22 00:00:00
TICK00054,CUST0014,TECH0097,NODE0019,Medium,Open,Configuration,2024-01-12 00:00:00,
TICK00055,CUST0146,TECH0178,NODE0190,High,Resolved,Billing,2023-10-07 00:00:00,2023-10-11 00:00:00
TICK00056,CUST0011,TECH0178,NODE0019,Critical,Open,Connectivity,2024-01-11 00:00:00,
TICK00057,CUST0074,TECH0160,NODE0087,Low,Resolved,Hardware Failure,2024-01-13 00:00:00,2024-01-22 00:00:00
TICK00058,CUST0174,TECH0082,NODE0009,Medium,In Progress,Service Outage,2024-02-25 00:00:00,
TICK00059,CUST0179,TECH0026,NODE0030,High,In Progress,Configuration,2023-10-29 00:00:00,
TICK00060,CUST0108,TECH0054,NODE0017,Critical,In Progress,Billing,2023-11-28 00:00:00,
TICK00061,CUST0150,TECH0172,NODE0045,Low,Resolved,Connectivity,2023-10-22 00:00:00,2023-10-27 00:00:00
TICK00062,CUST0060,TECH0081,NODE0068,Medium,Resolved,Hardware Failure,2023-11-05 00:00:00,2023-12-02 00:00:00
TICK00063,CUST0179,TECH0173,NODE0003,High,Resolved,Service Outage,2023-12-30 00:00:00,2024-01-07 00:00:00
TICK00064,CUST0166,TECH0170,NODE0031,Critical,In Progress,Configuration,2023-11-03 00:00:00,
TICK00065,CUST0068,TECH0150,NODE0148,Low,Resolved,Billing,2023-10-08 00:00:00,2023-10-12 00:00:00
TICK00066,CUST0064,TECH0060,NODE0007,Medium,Resolved,Connectivity,2023-10-31 00:00:00,2023-11-19 00:00:00
TICK00067,CUST0198,TECH0173,NODE0039,High,Resolved,Hardware Failure,2024-01-02 00:00:00,2024-01-31 00:00:00
TICK00068,CUST0174,TECH0165,NODE0178,Critical,Open,Service Outage,2024-03-16 00:00:00,
TICK00069,CUST0179,TECH0080,NODE0149,Low,Open,Configuration,2023-12-12 00:00:00,
TICK00070,CUST0091,TECH0174,NODE0022,Medium,In Progress,Billing,2023-10-05 00:00:00,
TICK00071,CUST0056,TECH0181,NODE0170,High,Open,Connectivity,2023-12-12 00:00:00,
TICK00072,CUST0062,TECH0127,NODE0014,Critical,In Progress,Hardware Failure,2023-12-07 00:00:00,
TICK00073,CUST0008,TECH0189,NODE0146,Low,Resolved,Service Outage,2024-01-04 00:00:00,2024-01-12 00:00:00
TICK00074,CUST0042,TECH0041,NODE0156,Medium,Resolved,Configuration,2023-11-12 00:00:00,2023-11-26 00:00:00
TICK00075,CUST0148,TECH0006,NODE0151,High,Resolved,Billing,2023-10-25 00:00:00,2023-10-30 00:00:00
TICK00076,CUST0060,TECH0142,NODE0147,Critical,Closed,Connectivity,2023-11-05 00:00:00,2023-11-10 00:00:00
TICK00077,CUST0035,TECH0052,NODE0091,Low,Open,Hardware Failure,2024-03-07 00:00:00,
TICK00078,CUST0007,TECH0038,NODE0034,Medium,Open,Service Outage,2023-11-04 00:00:00,
TICK00079,CUST0063,TECH0004,NODE0103,High,In Progress,Configuration,2023-12-11 00:00:00,
TICK00080,CUST0017,TECH0165,NODE0138,Critical,Closed,Billing,2023-10-01 00:00:00,2023-10-03 00:00:00
TICK00081,CUST0014,TECH0085,NODE0048,Low,Closed,Connectivity,2023-11-04 00:00:00,2023-11-24 00:00:00
TICK00082,CUST0109,TECH0183,NODE0103,Medium,In Progress,Hardware Failure,2023-11-20 00:00:00,
TICK00083,CUST0088,TECH0178,NODE0118,High,Resolved,Service Outage,2023-10-10 00:00:00,2023-11-03 00:00:00
TICK00084,CUST0156,TECH0152,NODE0138,Critical,In Progress,Configuration,2023-10-13 00:00:00,
TICK00085,CUST0010,TECH0129,NODE0043,Low,In Progress,Billing,2024-01-17 00:00:00,
TICK00086,CUST0087,TECH0098,NODE0001,Medium,Open,Connectivity,2024-01-15 00:00:00,
TICK00087,CUST0091,TECH0137,NODE0066,High,Closed,Hardware Failure,2023-10-23 00:00:00,2023-11-19 00:00:00
TICK00088,CUST0019,TECH0164,NODE0153,Critical,Resolved,Service Outage,2024-03-01 00:00:00,2024-03-18 00:00:00
TICK00089,CUST0030,TECH0178,NODE0106,Low,In Progress,Configuration,2023-12-29 00:00:00,
TICK00090,CUST0017,TECH0130,NODE0028,Medium,Resolved,Billing,2023-10-22 00:00:00,2023-11-15 00:00:00
TICK00091,CUST0004,TECH0050,NODE0178,High,In Progress,Connectivity,2024-01-15 00:00:00,
