CommunicationId,CustomerId,PolicyId,CommunicationType,CommunicationDate,Summary
CHID-001,CID-001,PID-001,SMS,2020-10-16,The customer wanted to know about discounts for upcoming policy renewal.
CHID-002,CID-001,PID-001,SMS,2020-06-13,The customer wanted to know about discounts for upcoming policy renewal.
CHID-003,CID-001,PID-002,Phone Call,2023-02-01,Request for documents related to the policy was made.
CHID-004,CID-001,PID-002,SMS,2023-03-30,Request for documents related to the policy was made.
CHID-005,CID-001,PID-002,SMS,2023-12-24,"Customer sought assistance for canceling their policy, asking about the process."
CHID-006,CID-001,PID-003,SMS,2021-11-04,Customer complained about a previous claim's handling.
CHID-007,CID-001,PID-004,Phone Call,2022-06-20,Request for documents related to the policy was made.
CHID-008,CID-001,PID-004,Email,2022-05-07,Customer called to inquire about their most recent bill and payment due dates.
CHID-009,CID-001,PID-004,SMS,2022-09-27,Inquired about potential premium increases for the upcoming renewal.
CHID-010,CID-001,PID-004,Email,2022-11-09,"Customer sought assistance for canceling their policy, asking about the process."
CHID-011,CID-002,PID-005,SMS,2024-06-03,Request clarification on a recent claim status.
CHID-012,CID-002,PID-005,Email,2023-09-07,Customer complained about a previous claim's handling.
CHID-013,CID-002,PID-005,Phone Call,2024-01-27,The customer wanted to know about discounts for upcoming policy renewal.
CHID-014,CID-002,PID-005,SMS,2023-12-20,"Customer sought assistance for canceling their policy, asking about the process."
CHID-015,CID-002,PID-006,SMS,2025-02-05,Customer called to ask specific questions regarding coverage limits.
CHID-016,CID-002,PID-006,SMS,2025-05-30,Request clarification on a recent claim status.
CHID-017,CID-002,PID-006,SMS,2025-01-01,Inquired about potential premium increases for the upcoming renewal.
CHID-018,CID-002,PID-006,SMS,2024-10-25,Customer called to inquire about their most recent bill and payment due dates.
CHID-019,CID-002,PID-007,Email,2023-06-14,Inquired about potential premium increases for the upcoming renewal.
CHID-020,CID-002,PID-007,SMS,2023-07-02,Customer complained about a previous claim's handling.
CHID-021,CID-002,PID-007,Phone Call,2024-02-01,Customer called to inquire about their most recent bill and payment due dates.
CHID-022,CID-002,PID-007,SMS,2023-03-26,Request clarification on a recent claim status.
CHID-023,CID-002,PID-008,Email,2023-09-13,"Customer sought assistance for canceling their policy, asking about the process."
