work_order_id,ticket_id,technician_id,type,status,date_created,date_completed,duration_hours
WO00001,TICK00661,TECH0137,Routine Maintenance,Pending,2024-02-11 00:00:00,2024-02-15 00:00:00,7
WO00002,TICK00301,TECH0096,Emergency Repair,In Progress,2024-01-21 00:00:00,2024-01-23 00:00:00,5
WO00003,TICK00348,TECH0035,Installation,Completed,2023-10-19 00:00:00,2023-10-23 00:00:00,3
WO00004,TICK00149,TECH0119,Inspection,Pending,2024-03-17 00:00:00,2024-03-19 00:00:00,6
WO00005,TICK00359,TECH0150,Routine Maintenance,In Progress,2023-12-22 00:00:00,2023-12-23 00:00:00,8
WO00006,TICK00496,TECH0086,Emergency Repair,Completed,2024-02-26 00:00:00,2024-02-29 00:00:00,7
WO00007,TICK00963,TECH0085,Installation,Pending,2024-01-20 00:00:00,2024-01-25 00:00:00,2
WO00008,TICK00347,TECH0074,Inspection,In Progress,2024-02-20 00:00:00,2024-02-20 00:00:00,6
WO00009,TICK00354,TECH0015,Routine Maintenance,Completed,2024-01-05 00:00:00,2024-01-10 00:00:00,5
WO00010,TICK00893,TECH0078,Emergency Repair,Pending,2023-12-16 00:00:00,2023-12-16 00:00:00,8
WO00011,TICK00630,TECH0175,Installation,In Progress,2023-10-04 00:00:00,2023-10-07 00:00:00,4
WO00012,TICK00030,TECH0183,Inspection,Completed,2023-11-27 00:00:00,2023-11-30 00:00:00,4
WO00013,TICK00344,TECH0124,Routine Maintenance,Pending,2024-01-13 00:00:00,2024-01-17 00:00:00,4
WO00014,TICK00901,TECH0199,Emergency Repair,In Progress,2023-12-30 00:00:00,2024-01-03 00:00:00,6
WO00015,TICK00357,TECH0100,Installation,Completed,2023-10-16 00:00:00,2023-10-18 00:00:00,1
WO00016,TICK00468,TECH0134,Inspection,Pending,2023-10-20 00:00:00,,4
WO00017,TICK00258,TECH0012,Routine Maintenance,In Progress,2023-11-27 00:00:00,2023-11-29 00:00:00,2
WO00018,TICK00827,TECH0004,Emergency Repair,Completed,2024-03-10 00:00:00,2024-03-13 00:00:00,8
WO00019,TICK00342,TECH0090,Installation,Pending,2023-10-08 00:00:00,,4
WO00020,TICK00051,TECH0200,Inspection,In Progress,2024-03-29 00:00:00,2024-04-03 00:00:00,4
WO00021,TICK00877,TECH0182,Routine Maintenance,Completed,2023-11-17 00:00:00,2023-11-19 00:00:00,7
WO00022,TICK00698,TECH0040,Emergency Repair,Pending,2023-10-29 00:00:00,,2
WO00023,TICK00334,TECH0106,Installation,In Progress,2024-03-09 00:00:00,2024-03-13 00:00:00,1
WO00024,TICK00730,TECH0073,Inspection,Completed,2024-01-16 00:00:00,2024-01-18 00:00:00,3
WO00025,TICK00693,TECH0195,Routine Maintenance,Pending,2024-01-25 00:00:00,2024-01-29 00:00:00,7
WO00026,TICK00759,TECH0076,Emergency Repair,In Progress,2024-02-19 00:00:00,2024-02-20 00:00:00,2
WO00027,TICK00323,TECH0152,Installation,Completed,2023-11-13 00:00:00,2023-11-14 00:00:00,1
WO00028,TICK00418,TECH0139,Inspection,Pending,2024-01-20 00:00:00,2024-01-25 00:00:00,2
WO00029,TICK00197,TECH0068,Routine Maintenance,In Progress,2024-03-16 00:00:00,2024-03-16 00:00:00,4
WO00030,TICK00700,TECH0047,Emergency Repair,Completed,2023-11-12 00:00:00,2023-11-15 00:00:00,2
WO00031,TICK00525,TECH0007,Installation,Pending,2023-11-25 00:00:00,,8
WO00032,TICK00800,TECH0060,Inspection,In Progress,2024-01-20 00:00:00,,6
WO00033,TICK00845,TECH0027,Routine Maintenance,Completed,2023-12-26 00:00:00,2023-12-29 00:00:00,5
WO00034,TICK00601,TECH0171,Emergency Repair,Pending,2023-12-20 00:00:00,2023-12-23 00:00:00,2
WO00035,TICK00196,TECH0002,Installation,In Progress,2023-10-19 00:00:00,2023-10-19 00:00:00,5
WO00036,TICK00034,TECH0168,Inspection,Completed,2024-02-07 00:00:00,2024-02-10 00:00:00,4
WO00037,TICK00949,TECH0035,Routine Maintenance,Pending,2023-12-16 00:00:00,,1
WO00038,TICK00235,TECH0170,Emergency Repair,In Progress,2023-11-14 00:00:00,2023-11-15 00:00:00,6
WO00039,TICK00995,TECH0105,Installation,Completed,2023-12-06 00:00:00,2023-12-09 00:00:00,7
WO00040,TICK00657,TECH0045,Inspection,Pending,2024-02-22 00:00:00,2024-02-24 00:00:00,7
WO00041,TICK00514,TECH0073,Routine Maintenance,In Progress,2024-03-04 00:00:00,2024-03-04 00:00:00,5
WO00042,TICK00796,TECH0089,Emergency Repair,Completed,2024-02-25 00:00:00,,6
WO00043,TICK00029,TECH0077,Installation,Pending,2024-03-02 00:00:00,2024-03-06 00:00:00,2
WO00044,TICK00958,TECH0134,Inspection,In Progress,2023-10-23 00:00:00,2023-10-26 00:00:00,6
WO00045,TICK00872,TECH0144,Routine Maintenance,Completed,2024-03-08 00:00:00,,2
WO00046,TICK00170,TECH0055,Emergency Repair,Pending,2023-11-27 00:00:00,2023-11-27 00:00:00,2
WO00047,TICK00446,TECH0016,Installation,In Progress,2024-03-08 00:00:00,,1
WO00048,TICK00827,TECH0168,Inspection,Completed,2024-02-06 00:00:00,2024-02-08 00:00:00,4
WO00049,TICK00369,TECH0083,Routine Maintenance,Pending,2024-01-16 00:00:00,2024-01-18 00:00:00,7
WO00050,TICK00686,TECH0069,Emergency Repair,In Progress,2023-11-02 00:00:00,2023-11-02 00:00:00,8
WO00051,TICK00208,TECH0193,Installation,Completed,2024-01-19 00:00:00,2024-01-21 00:00:00,7
WO00052,TICK00910,TECH0008,Inspection,Pending,2023-10-15 00:00:00,2023-10-20 00:00:00,2
WO00053,TICK00079,TECH0049,Routine Maintenance,In Progress,2023-10-13 00:00:00,,7
WO00054,TICK00681,TECH0009,Emergency Repair,Completed,2024-01-20 00:00:00,2024-01-24 00:00:00,6
WO00055,TICK00307,TECH0060,Installation,Pending,2024-02-27 00:00:00,2024-02-27 00:00:00,5
WO00056,TICK00811,TECH0032,Inspection,In Progress,2024-03-08 00:00:00,2024-03-13 00:00:00,5
WO00057,TICK00427,TECH0074,Routine Maintenance,Completed,2023-11-30 00:00:00,2023-12-03 00:00:00,4
WO00058,TICK00072,TECH0060,Emergency Repair,Pending,2024-03-09 00:00:00,2024-03-12 00:00:00,3
WO00059,TICK00252,TECH0002,Installation,In Progress,2023-11-21 00:00:00,2023-11-25 00:00:00,5
WO00060,TICK00911,TECH0014,Inspection,Completed,2023-10-23 00:00:00,,1
WO00061,TICK00887,TECH0083,Routine Maintenance,Pending,2024-02-21 00:00:00,2024-02-26 00:00:00,3
WO00062,TICK00659,TECH0177,Emergency Repair,In Progress,2023-12-08 00:00:00,2023-12-13 00:00:00,3
WO00063,TICK00556,TECH0131,Installation,Completed,2023-12-22 00:00:00,2023-12-25 00:00:00,8
WO00064,TICK00340,TECH0126,Inspection,Pending,2023-10-25 00:00:00,2023-10-25 00:00:00,4
WO00065,TICK00365,TECH0184,Routine Maintenance,In Progress,2024-02-10 00:00:00,2024-02-14 00:00:00,2
WO00066,TICK00325,TECH0064,Emergency Repair,Completed,2024-02-01 00:00:00,2024-02-01 00:00:00,1
WO00067,TICK00311,TECH0038,Installation,Pending,2023-10-29 00:00:00,2023-10-29 00:00:00,4
WO00068,TICK00663,TECH0025,Inspection,In Progress,2023-10-14 00:00:00,2023-10-14 00:00:00,1
WO00069,TICK00254,TECH0060,Routine Maintenance,Completed,2023-10-05 00:00:00,2023-10-05 00:00:00,3
WO00070,TICK00756,TECH0200,Emergency Repair,Pending,2023-11-08 00:00:00,2023-11-08 00:00:00,5
WO00071,TICK00411,TECH0040,Installation,In Progress,2024-03-01 00:00:00,2024-03-03 00:00:00,2
WO00072,TICK00953,TECH0198,Inspection,Completed,2023-12-16 00:00:00,2023-12-17 00:00:00,6
WO00073,TICK00877,TECH0108,Routine Maintenance,Pending,2023-10-24 00:00:00,,3
WO00074,TICK00970,TECH0097,Emergency Repair,In Progress,2024-03-26 00:00:00,2024-03-26 00:00:00,4
WO00075,TICK00136,TECH0143,Installation,Completed,2024-03-12 00:00:00,2024-03-17 00:00:00,8
WO00076,TICK00109,TECH0192,Inspection,Pending,2024-02-26 00:00:00,,1
WO00077,TICK00921,TECH0199,Routine Maintenance,In Progress,2024-02-03 00:00:00,2024-02-05 00:00:00,4
WO00078,TICK00393,TECH0168,Emergency Repair,Completed,2024-02-23 00:00:00,2024-02-28 00:00:00,7
WO00079,TICK00308,TECH0119,Installation,Pending,2024-02-05 00:00:00,2024-02-10 00:00:00,8
WO00080,TICK00202,TECH0158,Inspection,In Progress,2024-03-18 00:00:00,2024-03-19 00:00:00,5
WO00081,TICK00350,TECH0047,Routine Maintenance,Completed,2023-10-15 00:00:00,2023-10-18 00:00:00,6
WO00082,TICK00579,TECH0192,Emergency Repair,Pending,2024-03-11 00:00:00,2024-03-15 00:00:00,7
WO00083,TICK00486,TECH0077,Installation,In Progress,2023-10-29 00:00:00,2023-10-29 00:00:00,5
WO00084,TICK00763,TECH0034,Inspection,Completed,2023-12-23 00:00:00,2023-12-28 00:00:00,4
WO00085,TICK00242,TECH0100,Routine Maintenance,Pending,2024-02-09 00:00:00,2024-02-11 00:00:00,7
WO00086,TICK00113,TECH0073,Emergency Repair,In Progress,2024-02-27 00:00:00,2024-03-01 00:00:00,8
WO00087,TICK00759,TECH0034,Installation,Completed,2024-02-29 00:00:00,2024-03-05 00:00:00,2
WO00088,TICK00301,TECH0051,Inspection,Pending,2024-02-22 00:00:00,2024-02-23 00:00:00,8
WO00089,TICK00793,TECH0198,Routine Maintenance,In Progress,2023-10-22 00:00:00,2023-10-25 00:00:00,7
WO00090,TICK00724,TECH0180,Emergency Repair,Completed,2023-11-19 00:00:00,2023-11-23 00:00:00,6
WO00091,TICK00065,TECH0011,Installation,Pending,2024-02-28 00:00:00,2024-03-01 00:00:00,5
WO00092,TICK00697,TECH0022,Inspection,In Progress,2023-11-16 00:00:00,2023-11-16 00:00:00,1
WO00093,TICK00610,TECH0169,Routine Maintenance,Completed,2024-03-07 00:00:00,,4
WO00094,TICK00783,TECH0034,Emergency Repair,Pending,2023-12-04 00:00:00,,5
WO00095,TICK00469,TECH0090,Installation,In Progress,2023-11-07 00:00:00,2023-11-10 00:00:00,3
WO00096,TICK00938,TECH0111,Inspection,Completed,2023-12-06 00:00:00,2023-12-08 00:00:00,1
WO00097,TICK00741,TECH0052,Routine Maintenance,Pending,2024-02-15 00:00:00,2024-02-15 00:00:00,4
